iter,e,e_std,e_err95,e_var,e_var_std,e_var_err95,exact
0,-159.1800797979787,0.2497941652320853,0.4895875674031346,38.097914632269266,1.924598772041351,3.7721442778910617,-162.89018460416077
1,-159.39777997408305,0.20805461030421432,0.4077795430137761,28.13061033529329,1.3080264715185652,2.5636847750013945,-162.89018460416077
2,-159.82780830827957,0.18131229395978946,0.3553655661155265,21.95296676139455,1.133873505049376,2.222351232920972,-162.89018460416077
3,-159.6343666182591,0.1388048512540826,0.27205250933744124,12.270030990823438,0.5722849623586063,1.1216579151167287,-162.89018460416077
4,-159.951626733375,0.07354369948192102,0.14414300227440224,4.863119470607811,0.2229286963086691,0.4369322158854587,-162.89018460416077
5,-160.21675989418003,0.05541619460873823,0.10861374559338964,2.559799324834401,0.14252515744355312,0.2793441754802649,-162.89018460416077
6,-160.24785495142348,0.09132904229620799,0.17900163364310293,5.430398564170192,0.38382844713368675,0.7522899326239622,-162.89018460416077
7,-160.0854666954062,0.13950796830704426,0.27343059343816206,10.849561069390791,0.9159747995135942,1.7952776177929413,-162.89018460416077
8,-160.51664222130148,0.18520100172528092,0.362987293282291,18.7374809856,1.3681396842537035,2.68150450695726,-162.89018460416077
9,-160.58030849677493,0.2032180921692538,0.3983001416586786,22.054975557685793,1.61652265574708,3.168326185457317,-162.89018460416077
10,-160.74574331133323,0.19414783498891441,0.3805227642546976,19.835579455329786,1.1022366241575818,2.160344085789872,-162.89018460416077
11,-161.16509428846223,0.16454016678537733,0.32249280090955323,16.684934017584244,1.0197469259285095,1.9986672481653127,-162.89018460416077
12,-161.35541553462784,0.12762622125032103,0.25014279713356974,9.579894711238286,0.48662311851261114,0.9537637863292843,-162.89018460416077
13,-161.45999059408328,0.08966534658308112,0.17574084996414058,5.375354927525563,0.23396592988289713,0.458564796179902,-162.89018460416077
14,-161.58143608981072,0.05794737026003404,0.11357475870847415,3.311890196843871,0.1643399980104758,0.3221004773199167,-162.89018460416077
15,-161.70497305162272,0.06818748708794016,0.13364501888865268,3.625584279721747,0.18675061372240964,0.3660244769866745,-162.89018460416077
16,-161.61966761295025,0.08131469364025042,0.15937387094879898,5.237187220099605,0.39140040592170694,0.7671306991409033,-162.89018460416077
17,-161.6543235285371,0.10472853588805409,0.20526415849419655,6.945237073474944,0.4784011092332705,0.9376489442612225,-162.89018460416077
18,-161.7408307867566,0.1042492083120938,0.2043246937085175,6.407164894111631,0.3939649087653835,0.7721570323527599,-162.89018460416077
19,-161.70081843807475,0.09930804367719168,0.19464018898242633,5.846052884168694,0.3804040688851777,0.7455782745874421,-162.89018460416077
20,-161.83791844359374,0.0879456306142672,0.1723702686016269,4.535722884878935,0.2977641735071814,0.5836070559604112,-162.89018460416077
21,-161.78659988227952,0.06827519930486925,0.13381693167483785,2.702767172037915,0.17303969446461948,0.33915156904646915,-162.89018460416077
