iter,e,e_std,e_err95,e_var,e_var_std,e_var_err95,exact
0,-279.1255399431616,0.23946702277536563,0.46934674012474953,58.65430271433004,2.419871826628275,4.742861627394572,-282.5108742628955
1,-279.0899341932453,0.2362345067803501,0.4630111251950694,58.05862801337865,2.237362137145637,4.385149209179014,-282.5108742628955
2,-279.01869102128745,0.2092333066760027,0.41008974545118937,55.03124210261347,2.2543107654557155,4.418367910254124,-282.5108742628955
3,-278.9126279615801,0.20312543771398653,0.3981185422633476,50.94333251099576,1.8773168432413267,3.6794734003234266,-282.5108742628955
4,-279.23068967360655,0.2002791445089497,0.39253991009203437,45.47288757566592,1.7544474293909165,3.4386537743750756,-282.5108742628955
5,-278.8931652891634,0.18132216705865473,0.3553849170337183,41.84586648452358,1.5869642586446864,3.1103927916958924,-282.5108742628955
6,-279.57386524096654,0.1623414769489066,0.3181834480168963,34.56776601043441,1.2392938191137914,2.4289712517261277,-282.5108742628955
7,-279.29420884765665,0.15903607271472525,0.3117049747635547,28.821010671947587,1.0882122042813764,2.132856727928442,-282.5108742628955
8,-279.2404483701146,0.1333793282819404,0.26141867971474786,24.359823314980027,1.021822391916213,2.0027350867523497,-282.5108742628955
9,-279.27921242658226,0.11896377735338164,0.23316471907746972,20.253798034606064,0.7711199802171509,1.5113673889848547,-282.5108742628955
10,-279.2806901753225,0.10982070542467742,0.2152446273891503,16.794493857670574,0.6069827646135623,1.1896643578791353,-282.5108742628955
11,-279.4824517408959,0.08781077954213524,0.17210596535697165,12.284738517797923,0.4595950376516553,0.9007897212705746,-282.5108742628955
12,-279.68376945055536,0.07750770675615806,0.15191231376636163,9.169868345830915,0.34605540685810116,0.6782561340972335,-282.5108742628955
13,-279.6111248467319,0.06363268918225654,0.12471777903665432,7.268740599490302,0.2420698160545884,0.47444812121122903,-282.5108742628955
14,-279.57070447221395,0.05054636101246364,0.09906904713398827,5.925328951395674,0.2256432677334323,0.4422526781114562,-282.5108742628955
15,-279.6638134743324,0.04310752280639807,0.08448919216327921,4.410858885694515,0.15264444027128837,0.29917760537200067,-282.5108742628955
16,-279.7311435879551,0.03755305802031708,0.0736026412291645,3.598349826296746,0.137802001936333,0.2700869607927315,-282.5108742628955
17,-279.84105116561904,0.04413499454814892,0.08650299977224352,3.109849498059913,0.09964214895920294,0.195295023302213,-282.5108742628955
18,-279.83092949787476,0.04932419531025507,0.09667364637451938,2.8204397663155283,0.09919762893133056,0.1944237800571764,-282.5108742628955
19,-279.93257673141693,0.050769302740223295,0.09950600489104833,2.847188240692195,0.1020001538373274,0.19991662793870668,-282.5108742628955
20,-279.9501201305303,0.05492925704896073,0.10765936551350593,2.793654783395054,0.11295885561169729,0.22139528873378686,-282.5108742628955
21,-280.0285667968933,0.06044722076848504,0.11847437567177226,3.1338553828008395,0.1361097151124191,0.26677013956634854,-282.5108742628955
22,-280.14256706366325,0.06720264994405059,0.13171477355599184,3.10483059734971,0.15078039427307005,0.2955241423499667,-282.5108742628955
23,-280.1204964139322,0.06266241906618042,0.12281608455386962,3.3305957804325947,0.19233405442052293,0.3769678196647917,-282.5108742628955
24,-280.12125504895835,0.06617986794163018,0.12971015766721208,3.0267451039983966,0.15569456328508133,0.3051557366274516,-282.5108742628955
25,-280.31300428153713,0.071178568826615,0.1395074313712708,3.1751811339920684,0.1819403012805686,0.35659643784628114,-282.5108742628955
26,-280.1812187086515,0.05918934706518941,0.1160089885162128,3.1323533988382977,0.14171466614675396,0.2777556417287554,-282.5108742628955
27,-280.2098580020331,0.06240311180052506,0.12230785165225556,2.8587192815964717,0.1395524732856516,0.27351782159336513,-282.5108742628955
28,-280.2886399003322,0.06268301065240746,0.12285644332125918,2.9473735246388344,0.1426214275543962,0.27953286143030504,-282.5108742628955
29,-280.32279603416083,0.05590407390542034,0.10956997144368931,2.6825587883445454,0.13146219672624815,0.2576611709119658,-282.5108742628955
30,-280.38622526454947,0.05090280266144511,0.09976765992858203,2.3451669138663864,0.1090041024402417,0.21364411494998833,-282.5108742628955
31,-280.42250245336453,0.045713883635824945,0.08959756551967184,2.004003103039461,0.08299060240042598,0.1626585917601183,-282.5108742628955
32,-280.4648277288087,0.03991315816526025,0.07822835251316086,1.7850128497313302,0.07017469616746212,0.1375398771142667,-282.5108742628955
33,-280.5402741130009,0.0453352372382798,0.08885543221760751,1.6214752994817483,0.07145603000620011,0.14005124529036564,-282.5108742628955
34,-280.5856742987984,0.03612705998953832,0.0708077364468131,1.3590786505360688,0.054872210023153296,0.10754755539749823,-282.5108742628955
35,-280.61205391176827,0.033043550943055264,0.06476416976970285,1.2718387288164212,0.04582300513409706,0.08981143972622423,-282.5108742628955
36,-280.65058890824355,0.02679216795645867,0.05251168426240709,1.0357046713597085,0.03635931800811619,0.07126295379834635,-282.5108742628955
37,-280.6972605447802,0.023461441995136202,0.04598358133584251,0.8859952245238172,0.029553652583695154,0.05792409467565162,-282.5108742628955
38,-280.721647659243,0.024231904828514082,0.047493660740689836,0.7462817586638297,0.027610725769775822,0.054116028095772574,-282.5108742628955
39,-280.7742969087516,0.016969038955095942,0.03325870520424524,0.6837857507406915,0.023038880961153047,0.045155376927965514,-282.5108742628955
40,-280.82003236341285,0.016127936984057144,0.03161017563368354,0.6615380307730497,0.023381454306995234,0.04582680834787959,-282.5108742628955
41,-280.8356758355437,0.015721022061125182,0.030812637039965007,0.5617961858409961,0.02049102816915406,0.04016167721773768,-282.5108742628955
42,-280.85364503770995,0.018595037829212197,0.03644560443641578,0.579159752353064,0.022170028078177965,0.04345245656947056,-282.5108742628955
43,-280.891346691347,0.016347648978486454,0.03204080322973646,0.5362585166778553,0.0223624495917744,0.043829595805970255,-282.5108742628955
44,-280.93750911638364,0.01732052511505268,0.033947605418824724,0.5250636325458622,0.02399025299681677,0.04702003185376497,-282.5108742628955
45,-280.9668805893995,0.01645296116994371,0.032247211332125665,0.4774136965365994,0.020525829884203196,0.04022988732583421,-282.5108742628955
46,-280.9911376887918,0.016750388980776455,0.03283015912935843,0.44442617479168833,0.019484025554698817,0.03818798836106773,-282.5108742628955
47,-281.01010633604966,0.016234400448612633,0.03181884018988165,0.44971700496284733,0.017956000542944158,0.035193114370552205,-282.5108742628955
48,-281.05227150079395,0.017733519771158085,0.034757060070598825,0.39646588681245265,0.016124911514151675,0.031604245821632515,-282.5108742628955
49,-281.07774220657114,0.017877491011834352,0.03503923851713386,0.3759781830680563,0.015983324719998106,0.031326740804405034,-282.5108742628955
50,-281.1164497456276,0.016073077829392914,0.03150265366631934,0.3440437811824245,0.014884771040228936,0.02917361515697351,-282.5108742628955
51,-281.1330204781208,0.016996023523310744,0.03331159398608462,0.32719993410394416,0.0164503538667819,0.03224210111183174,-282.5108742628955
52,-281.1371727575863,0.017397521800709595,0.03409851614964123,0.28270579582485766,0.0128031297168045,0.02509367313433132,-282.5108742628955
53,-281.19455331414383,0.016236661961964428,0.03182327267460173,0.24572201158745738,0.01207953472998004,0.023675453020761645,-282.5108742628955
54,-281.1894085437279,0.014053314630242572,0.027543990538685267,0.21643399133731236,0.009777528401956653,0.01916360352565251,-282.5108742628955
