prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance
ising,4,1,2.0,-7.999991771511963,6.784831826990668e-05,5.327617511082521e-06,1.1870902870545884e-06
ising,4,1,3.0,-12.000031708353394,2.575837672373422e-05,1.004998608662385e-06,8.899388495430981e-08
ising,4,1,4.0,-15.999973675294722,5.186090253495434e-05,2.363457103967668e-06,1.8788301091991653e-07
ising,4,1,5.0,-20.000008824417474,3.598908511405025e-05,1.1831988853425548e-06,8.809269868334956e-08
ising,4,1,6.0,-24.000014242766806,5.488373564540621e-05,2.206064757232966e-06,1.0064751417560743e-07
ising,4,1,7.0,-28.00008679338022,6.54371825504535e-05,2.9776750696857833e-06,1.194321807879262e-07
ising,4,1,8.0,-32.000847058304956,7.56339580239261e-05,3.888004911907621e-06,1.800222224287377e-07
ising,4,1,9.0,-36.00018202524424,6.373254292879486e-05,3.475653619200029e-06,1.8649674741637915e-07
ising,4,1,10.0,-40.0001951898276,7.149486377057628e-05,4.213622815009589e-06,2.359142372308052e-07
ising,4,1,11.0,-44.000490071672644,7.432978497602811e-05,5.356035550466857e-06,1.956014170912271e-07
ising,4,1,12.0,-48.000464169581804,7.241621590990995e-05,5.60776163447499e-06,2.1014845965554663e-07
ising,4,1,13.0,-52.000426349177296,7.452453984684352e-05,6.122961232860868e-06,2.006355913507903e-07
ising,4,1,14.0,-56.00022347949606,8.770841300197859e-05,7.513327742844863e-06,2.288331047955794e-07
ising,4,1,15.0,-60.00037233375096,8.01090281281666e-05,9.086117875435664e-06,3.992351253534388e-07
ising,4,1,16.0,-64.00049630758701,8.236237581551774e-05,8.698841990159866e-06,2.836914599098233e-07
ising,4,1,17.0,-68.00015699829179,7.94074136767919e-05,1.0153258018539449e-05,3.86996610462838e-07
ising,4,1,18.0,-72.0002285388845,8.293809832493558e-05,1.0597047925923044e-05,4.0795499910303936e-07
ising,4,1,19.0,-76.00042582750518,9.382189612292032e-05,1.2879844212115273e-05,5.916930487952147e-07
ising,4,1,20.0,-79.99993550117088,8.84378415744557e-05,1.2563724069858602e-05,4.5913601478976353e-07
ising,4,1,21.0,-83.99807285527783,0.00010209193272783725,1.3432287835851983e-05,5.509235244476892e-07
ising,4,1,22.0,-88.00019102328352,9.245117748642184e-05,1.4434224552117192e-05,7.072298132989723e-07
ising,4,1,23.0,-91.99758236932422,0.0001060443927750689,1.4064486340682217e-05,5.466042700241012e-07
ising,4,1,24.0,-95.99713426977608,0.00010425944670831488,1.5794618101829734e-05,6.160319622250115e-07
ising,4,1,25.0,-99.9991925502211,0.00010473616347942823,1.6404110598169357e-05,6.219632211264455e-07
ising,4,1,26.0,-104.00022651426607,0.00010280160298861604,1.7831568700376714e-05,9.149571671537644e-07
ising,4,1,27.0,-107.99999435123837,9.383069404209422e-05,2.1312781693845336e-05,1.3333788130041739e-06
ising,4,1,28.0,-111.99984265412772,0.00010914232159997722,2.0281923294778842e-05,9.80454089810203e-07
ising,4,1,29.0,-116.00007960288377,0.00010040892100460711,2.2912526110532052e-05,1.1565947332442114e-06
ising,4,1,30.0,-119.99979647049541,9.922551463164113e-05,2.6829633678905898e-05,1.7626131505929082e-06
ising,4,1,31.0,-124.00025896392967,9.949530965173119e-05,2.9026690528336713e-05,1.6876253490952979e-06
ising,4,1,32.0,-127.99997477104773,0.0001047595973253176,2.7252599548508858e-05,1.5598161611933238e-06
ising,4,1,33.0,-131.99963706078708,0.000110789695306747,3.187330710137844e-05,2.0056715917368023e-06
ising,4,1,34.0,-135.9996474567801,0.00010738718609106611,3.0220118681591402e-05,1.6031763481283868e-06
ising,4,1,35.0,-139.9994318903239,0.00012250193934868565,3.3097955212342457e-05,2.4597068857395464e-06
ising,4,1,36.0,-143.9997697479031,0.00011014816855928489,3.51748759722857e-05,1.8281383482587462e-06
