prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance,exact
ising,4,1,2.0,-7.999987979038496,2.9972286383099903e-05,3.125542660215475e-06,6.101859013060578e-07,-17.086233640558888
ising,4,1,9.641025641025642,-38.57176218236645,0.00021715526948295875,7.691638961249397e-05,2.8043939056578304e-06,-40.32525677444577
ising,4,1,17.282051282051285,-69.14784696458014,0.0006231827564574289,0.00040854404438374787,1.2355673751961431e-05,-70.07235424304136
ising,4,1,24.923076923076927,-99.62818218197309,0.00183506294533054,0.0035387119912685797,7.139440900063779e-05,-100.34044283762644
ising,4,1,32.56410256410257,-130.15055780738012,0.0014910067041133722,0.002523174593572229,5.504351831896598e-05,-130.7505182106135
ising,4,1,40.20512820512821,-160.78189766967841,0.0012925216305535714,0.0019605954819437274,3.7987516339400985e-05,-161.2199454608039
ising,4,1,47.846153846153854,-191.33499729709382,0.0011380082768320525,0.001517145091541275,3.945461203001049e-05,-191.7198954403481
ising,4,1,55.48717948717949,-221.90479155486332,0.001057432334757494,0.0012365795821746115,2.346888454330789e-05,-222.2376340564836
ising,4,1,63.12820512820514,-252.47327300497898,0.0009821507158123194,0.0009719299351930091,1.990442334051819e-05,-252.76665419896352
ising,4,1,70.76923076923076,-283.04031099848567,0.0008439373813898029,0.0007771259932114734,1.4511680987362795e-05,-283.30328067183456
ising,4,1,78.41025641025641,-313.6179574974669,0.0007629631095350491,0.0006668903717060098,1.5756539465431273e-05,-313.845279586206
ising,4,1,86.05128205128206,-344.17633206928735,0.0006653222306992806,0.0005506307240584594,1.4049376075366998e-05,-344.3912144216118
ising,4,1,93.69230769230771,-374.7476739663828,0.0006471137731409473,0.0004828670275625716,1.282218172733688e-05,-374.94011919670066
ising,4,1,101.33333333333334,-405.3062457743438,0.0005872929182058795,0.00039256148028754637,1.3288697323993335e-05,-405.4913202943345
ising,4,1,108.97435897435898,-435.88233606167734,0.0005390812451872374,0.0003381125288610175,1.157106372285542e-05,-436.0443335837721
ising,4,1,116.61538461538464,-466.44908662319625,0.0004949699471996754,0.0003146264022252602,7.787497220795555e-06,-466.5988021445355
ising,4,1,124.25641025641028,-497.00854499493784,0.0004987794300678915,0.00027761175198776994,6.884735525769248e-06,-497.1544570449457
ising,4,1,131.8974358974359,-527.56445275743,0.0004605548244001997,0.00023797252659086982,4.6172034894752235e-06,-527.7110917936319
ising,4,1,139.53846153846158,-558.1391372427944,0.0004478310701239869,0.00022531198203758134,4.411056378944947e-06,-558.2685452068772
ising,4,1,147.17948717948718,-588.700284451492,0.00044266356918503806,0.0002100167880555277,4.634417207976613e-06,-588.8266896250683
ising,4,1,154.82051282051282,-619.2618069224658,0.0003626005746178765,0.0001766517523452969,4.810417414995234e-06,-619.3854226257282
ising,4,1,162.46153846153848,-649.8254726194839,0.00036262336638401835,0.00015567437837062144,3.7233919078132446e-06,-649.9446610794632
